,0,1,,ç∑,ìÒèÊ,MSE,RMSE
131,10.77896438,12.30442291,,-1.525458525,2.327023711,,
132,1.716795589,8.133673446,,-6.416877858,41.17632144,,
133,0.226306058,21.47764222,,-21.25133616,451.6192886,,
134,0.000620008,21.25027536,,-21.24965535,451.5478524,,
135,0.000620008,23.91525927,,-23.91463926,571.9099711,,
136,0.32970828,21.78650405,,-21.45679577,460.3940846,,
137,5.794063694,13.29722318,,-7.503159484,56.29740224,,
138,26.05981234,14.6083466,,11.45146573,131.1360675,,
139,20.66046391,21.34588241,,-0.6854185,0.46979852,,
140,87.31820294,74.95791806,,12.36028488,152.7766424,,
141,54.25511509,41.16246409,,13.092651,171.4175103,,
142,11.71935405,52.04712484,,-40.32777079,1626.329097,,
143,4.987467377,45.80140514,,-40.81393776,1665.777516,,
144,2.239648892,48.17696257,,-45.93731367,2110.236788,,
145,6.187178883,38.02017609,,-31.83299721,1013.339711,,
146,11.87568492,62.43654957,,-50.56086465,2556.401034,,
147,39.63167756,59.7039437,,-20.07226614,402.8958679,,
148,67.33917012,62.48078388,,4.85838624,23.60391686,,
149,66.7600257,65.35192703,,1.408098669,1.982741862,,
150,40.57671894,44.52446012,,-3.947741183,15.58466044,,
151,66.57496734,50.63940694,,15.9355604,253.9420851,,
152,20.11556137,71.14510406,,-51.02954269,2604.014227,,
153,8.759315621,58.74320961,,-49.98389399,2498.389658,,
154,2.432686072,30.62438874,,-28.19170266,794.7720991,,
155,9.337499612,44.21573638,,-34.87823677,1216.4914,,
156,42.59149195,52.17421666,,-9.582724717,91.828613,,
157,29.95624742,35.19624665,,-5.23999923,27.45759193,,
158,69.50770628,66.38551329,,3.122192998,9.74808912,,
159,23.97576986,35.76654178,,-11.79077192,139.0223024,,
160,32.59088791,36.1587726,,-3.56788469,12.72980116,,
161,21.20453818,30.37827411,,-9.173735937,84.15743104,,
162,57.37505064,72.16836465,,-14.79331401,218.8421395,,
163,4.858074756,77.96649804,,-73.10842328,5344.841555,,
164,26.31133146,22.65809586,,3.6532356,13.34613035,,
165,40.29818905,45.27421148,,-4.976022437,24.76079929,,
166,41.27232924,43.32962067,,-2.057291436,4.232448051,,
167,51.63088495,51.83455487,,-0.203669928,0.041481439,,
168,33.36404907,16.88219882,,16.48185025,271.6513877,,
169,6.457921702,17.32848211,,-10.87056041,118.1690835,,
170,24.39548585,24.92856929,,-0.533083446,0.284177961,,
171,17.85914902,23.97475929,,-6.115610271,37.40068899,,
172,24.87496213,21.81509011,,3.059872016,9.362816754,,
173,13.90877283,32.03759344,,-18.12882062,328.654137,,
174,7.247192093,60.39485586,,-53.14766377,2824.674164,,
175,20.08640853,14.22750539,,5.858903137,34.32674596,,
176,16.90816338,32.83844326,,-15.93027988,253.7738171,,
177,34.60418607,18.42640228,,16.17778379,261.7206884,,
178,28.95514708,16.8376035,,12.11754358,146.8348623,,
179,12.83653488,19.14134175,,-6.304806873,39.75058971,,
180,13.49283367,14.28832726,,-0.795493594,0.632810059,,
181,15.13977237,16.65230743,,-1.512535066,2.287762326,,
182,15.78372632,29.937845,,-14.15411867,200.3390754,,
183,21.19380576,34.09543609,,-12.90163032,166.452065,,
184,1.594136388,9.285330608,,-7.691194219,59.15446852,,
185,11.71570726,8.43E-07,,11.71570642,137.2577769,,
186,8.791165312,30.26775773,,-21.47659242,461.2440218,,
187,40.41053311,21.33407373,,19.07645937,363.9113022,,
188,20.18916768,10.18067726,,10.00849042,100.1698806,,
189,12.81200459,16.6100685,,-3.798063907,14.42528944,,
190,3.085225065,5.35159343,,-2.266368365,5.136425565,,
191,1.123945656,7.275895332,,-6.151949675,37.84648481,,
192,12.2215376,16.03488885,,-3.813351242,14.54164769,,
193,9.99754602,29.93575626,,-19.93821024,397.5322277,,
194,2.21E-07,6.568185766,,-6.568185545,43.14106136,,
195,6.49E-08,1.59E-07,,,,,
196,8.65E-08,4.683768354,,,,,
197,0.665164221,6.039992381,,,,,
198,8.57E-07,3.780803172,,,,,
199,16.54955605,14.173629,,,,,
200,0.339064415,0.238966198,,,,,
201,1.844041361,4.847361057,,,,,
202,3.880996455,4.148242169,,,,,
203,0.899595887,10.97904063,,,,,
204,2.265045558,1.774311739,,,,,
205,6.97E-07,7.97E-07,,,,,
206,2.41E-06,6.184922614,,,,,
207,1.35E-06,4.003905244,,,,,
208,3.096679775,3.391846137,,,,,
209,1.426972172,1.224762005,,,,,
210,0.000620008,0.002574392,,,,,
211,0.000620008,0.002574392,,,,,
212,0.000620008,0.002574392,,,,,
213,0.000620008,0.002574392,,,,,
214,0.000620008,0.002574392,,,,,
215,0.000620008,0.002574392,,,,,
216,0.000620008,0.002574392,,,,,
217,0.000620008,0.002574392,,,,,
218,0.000620008,0.002574392,,,,,
219,0.000620008,0.002574392,,,,,
220,0.000620008,0.002574392,,,,,
221,0.000620008,0.002574392,,,,,
222,0.000620008,0.002574392,,,,,
223,0.000620008,0.002574392,,,,,
224,0.000620008,0.002574392,,,,,
225,0.000620008,0.002574392,,,,,
226,0.000620008,0.002574392,,,,,
227,0.000620008,0.002574392,,,,,
228,0.000620008,0.002574392,,,,,
229,0.000620008,0.002574392,,,,,
230,0.000620008,0.002574392,,,,,
231,0.000620008,0.002574392,,,,,
232,0.000620008,0.002574392,,,,,
233,0.000620008,0.002574392,,,,,
234,0.000620008,0.002574392,,,,,
235,0.000620008,0.002574392,,,,,
236,0.000620008,0.002574392,,,,,
237,0.000620008,0.002574392,,,,,
238,0.000620008,0.002574392,,,,,
239,0.000620008,0.002574392,,,,,
240,0.000620008,0.002574392,,,,,
241,0.000620008,0.002574392,,,,,
242,0.000620008,0.002574392,,,,,
243,0.000620008,0.002574392,,,,,
244,0.000620008,0.002574392,,,,,
245,0.000620008,0.002574392,,,,,
246,0.000620008,0.002574392,,,,,
247,0.000620008,0.002574392,,,,,
248,0.000620008,0.002574392,,,,,
249,0.000620008,0.002574392,,,,,
250,0.000620008,0.002574392,,,,,
251,0.000620008,0.002574392,,,,,
252,0.000620008,0.002574392,,,,,
253,0.000620008,0.002574392,,,,,
254,0.000620008,0.002574392,,,,,
255,0.000620008,0.002574392,,,,,
256,0.000620008,0.002574392,,,,,
257,0.000620008,0.002574392,,,,,
258,0.000620008,0.002574392,,,,,
259,0.000620008,0.002574392,,,,,
260,71.21018018,14.18952772,,,,,
261,0.038503397,3.80213931,,,,,
262,0.000620008,23.38611217,,,,,
263,0.000620008,24.90140634,,,,,
264,0.000620008,4.913501363,,,,,
265,0.000620008,15.49852513,,,,,
266,0.000620008,28.05471364,,,,,
267,0.000620008,20.01158284,,,,,
268,0.000620008,6.489713355,,,,,
269,86.00462237,46.71286822,,,,,
270,7.09477687,4.812709863,,,,,
271,3.91E-06,2.13E-06,,,,,
272,0.000620008,4.061904369,,,,,
273,0.000620008,4.854011543,,,,,
274,0.000620008,0.995490002,,,,,
275,0.000620008,0.61242552,,,,,
276,0.000620008,4.982672855,,,,,
277,0.000620008,1.684304692,,,,,
278,0.000620008,1.659067566,,,,,
279,3.663620817,2.011223168,,,,,
280,0.000620008,0.002574392,,,,,
281,0.000620008,0.002574392,,,,,
282,0.000620008,0.002574392,,,,,
283,0.000620008,0.002574392,,,,,
284,0.000620008,0.002574392,,,,,
