,0,1,,ç∑,ìÒèÊ,ìÒèÊòa,MSE,RMSE
215,0.823446619,0.002574392,,,,,,
216,11.1997695,0.002574392,,,,,,
217,27.74037023,0.002574392,,,,,,
218,29.11454226,0.002574392,,,,,,
219,37.16704334,0.002574392,,,,,,
220,38.42890245,0.002574392,,,,,,
221,13.94847269,0.002574392,,,,,,
222,57.01519189,0.002574392,,,,,,
223,82.52204658,0.002574392,,,,,,
224,82.81189906,0.002574392,,,,,,
225,65.48327221,0.002574392,,,,,,
226,58.63870345,0.002574392,,,,,,
227,28.13153995,0.002574392,,,,,,
228,79.80107202,0.002574392,,,,,,
229,32.37141456,0.002574392,,,,,,
230,40.97217436,0.002574392,,,,,,
231,14.1857698,0.002574392,,,,,,
232,85.76255856,0.002574392,,,,,,
233,30.37064696,0.002574392,,,,,,
234,77.65124862,0.002574392,,,,,,
235,27.25800489,0.002574392,,,,,,
236,-1.073090912,0.002574392,,,,,,
237,8.238175164,0.002574392,,,,,,
238,19.7451799,0.002574392,,,,,,
239,38.56878884,0.002574392,,,,,,
240,48.19678729,0.002574392,,,,,,
241,66.79766305,0.002574392,,,,,,
242,65.82696769,0.002574392,,,,,,
243,56.90262272,0.002574392,,,,,,
244,36.58992395,0.002574392,,,,,,
245,23.24800898,0.002574392,,,,,,
246,8.668030913,0.002574392,,,,,,
247,15.96779686,0.002574392,,,,,,
248,16.33301532,0.002574392,,,,,,
249,46.23474081,0.002574392,,,,,,
250,95.4887608,0.002574392,,,,,,
251,53.21353236,0.002574392,,,,,,
252,35.90410516,0.002574392,,,,,,
253,35.44685602,0.002574392,,,,,,
254,17.81027942,0.002574392,,,,,,
255,10.67329176,0.002574392,,,,,,
256,-22.16685297,0.002574392,,,,,,
257,4.72379143,0.002574392,,,,,,
258,-2.449229991,0.002574392,,,,,,
259,30.73876583,0.002574392,,,,,,
260,62.73291915,14.18952772,,,,,,
261,33.01952315,3.80213931,,,,,,
262,7.999170553,23.38611217,,,,,,
263,25.45008446,24.90140634,,,,,,
264,3.074288814,4.913501363,,,,,,
265,-7.657938925,15.49852513,,,,,,
266,-13.76270915,28.05471364,,,,,,
267,0.642350561,20.01158284,,,,,,
268,-16.86812943,6.489713355,,,,,,
269,45.00102973,46.71286822,,,,,,
270,5.176567758,4.812709863,,,,,,
271,34.07356919,2.13E-06,,,,,,
272,9.963226367,4.061904369,,,,,,
273,-4.780343643,4.854011543,,,,,,
274,-15.52725577,0.995490002,,,,,,
275,27.70733205,0.61242552,,,,,,
276,2.520899658,4.982672855,,,,,,
277,-20.56789995,1.684304692,,,,,,
278,-32.23941781,1.659067566,,,,,,
279,-8.05941174,2.011223168,,,,,,
280,11.00734415,0.002574392,,,,,,
281,7.790783546,0.002574392,,,,,,
282,-8.570185758,0.002574392,,,,,,
283,-12.74676573,0.002574392,,,,,,
284,42.64747341,0.002574392,,,,,,
285,68.20225966,0.002574392,,,,,,
286,26.03005907,0.002574392,,,,,,
287,1.111190727,0.002574392,,,,,,
